content_groups,title,watchers_prev_mtd,watchers_this_mtd,plays_prev_mtd,plays_this_mtd,duration_prev_mtd,duration_this_mtd,rn1,rn2
Original Series,HEART,13886,20467,29155,41573,399514.56666666665,562596.6333333333,9,12
Original Series,Girls in The City,8347,16573,51906,92570,1042273.75,1918190.75,13,13
Original Series,Jawara,7734,13400,32104,47379,276070.5,413010.6,15,14
Original Series,On The Weekend,3524,10679,4749,14075,37614.816666666666,157983.06666666668,16,15
Original Series,Vidio Original Series: Behind the Scenes,1439,6809,2132,9796,1998.5,10607.516666666666,17,16
Original Series,Next On Episode 15 - I Love You Baby | Vidio Original Series,81,725,104,892,44,335.5,18,18
Original Series,Next On Episode 14 - I Love You Baby | Vidio Original Series,68,505,85,604,28,189,19,20
Original Series,Love is (Not) Blind ,0,62475,0,139742,0,1586001.6166666667,5,108
Sports,molasportsfree,71664,69131,143754,135811,842112.25,817449.25,2,1
Sports,vidioesports,40674,48088,59501,67328,130622,247881.5,5,2
Sports,nba,28736,38548,253294,253004,3781467.25,4740012,6,3
Sports,vidiopremier,14766,27205,62473,104574,279420.25,468219.5,8,5
Sports,sctv,5860,3227,11350,6271,189455.1,105047.2,44,11
Sports,onechampionship,3635,7186,4430,8946,19501,30093.25,22,16
Sports,Highlight - Barcelona vs Juventus I UEFA Champions League 2020/2021,2479,3964,2853,4815,10045,19878.25,34,21
Sports,Mini Match - Paris Saint-Germain VS Bayern Munchen I UEFA Champions League 2019/2020,1444,807,1709,965,10890,5924.25,98,33
Sports,Mini Match - Barcelona VS Bayern Munchen I UEFA Champions League 2019/2020,1299,888,1583,1118,9242.75,6589.55,89,35
Sports,NBA 2020/2021,742,1078,2122,1995,29602,16457.25,76,52
Sports,Highlight - Juventus  VS Barcelona I UEFA Champions League 2020/2021,559,592,651,976,1798.5,3695.75,112,66
Sports,Tunggal Putra - Ardy Wiranata (INA) vs Zhao Jianhua (CHN) I World Championships Final 1991,441,781,532,909,1736.75,2470,100,84
Sports,Sekilas Tentang Portugal Vs Maroko,385,501,392,505,213.5,242,130,97
Sports,Shopee Liga 1 Is Back !,336,1047,377,1155,130.5,606.75,79,111
Sports,Fox Sports,25,2767,35,4416,16,3110,51,1006
Sports,World Tour Finals 2020  | Promo | BWF 2021,25,989,31,1165,9.5,577.75,82,1007
Sports,PS TIRA PERSIKABO,20,3352,29,3896,68.5,2586.5,40,1176
Sports,Timnas Match Day - PSIM vs TIMNAS U 23,3,2525,4,3098,20.75,20491.25,53,4264
Sports,Bali United (0) vs (0) Indonesia U 23 - Highlight | Timnas Match Day,3,1876,3,2219,0.25,1520.75,60,4265
Sports,indosiar,2,367874,4,888076,0.75,9292240.75,1,5500
Sports,mdl.indonesia,1,53948,1,88550,0.25,481792.75,4,8135
Sports,mpl.id.official,1,31913,1,52787,0,414453.25,7,8136
Sports,"AHHH...!!! Dapet Bola Berkah, Tendangan Ichsan-PSIM Masih Melebar di Sisi Gawang - Timnas Match Day ",1,3126,1,3805,0.5,1431.25,47,8137
